"id","status","type","task","blueprint_line","section_path","evidence","notes"
"1.2.4","✅","bullet","بناء نظام المصادقة (Authentication) - 3 أيام","70","📋 ملف المهام الشامل - المرحلة 1 > المهمة 1: بناء الأساس المعماري (Platform Core) > ✅ المهام الفرعية: > 1.2: إنشاء نظام لإدارة المستخدمين والصلاحيات","drizzle/schema.ts; server/auth.ts; server/permissions/*; client/src/pages/Login.tsx; client/src/pages/users/UsersManagement.tsx",""
"1.2.5","⚠️","bullet","بناء نظام التفويض (Authorization) - يومان","71","📋 ملف المهام الشامل - المرحلة 1 > المهمة 1: بناء الأساس المعماري (Platform Core) > ✅ المهام الفرعية: > 1.2: إنشاء نظام لإدارة المستخدمين والصلاحيات","drizzle/schema.ts; server/auth.ts; server/permissions/*; client/src/pages/Login.tsx; client/src/pages/users/UsersManagement.tsx",""
"1.2.6","✅","bullet","تطوير شاشة تسجيل الدخول - يوم","72","📋 ملف المهام الشامل - المرحلة 1 > المهمة 1: بناء الأساس المعماري (Platform Core) > ✅ المهام الفرعية: > 1.2: إنشاء نظام لإدارة المستخدمين والصلاحيات","drizzle/schema.ts; server/auth.ts; server/permissions/*; client/src/pages/Login.tsx; client/src/pages/users/UsersManagement.tsx",""
"1.2.7","✅","bullet","تطوير شاشة إدارة المستخدمين - يومان","73","📋 ملف المهام الشامل - المرحلة 1 > المهمة 1: بناء الأساس المعماري (Platform Core) > ✅ المهام الفرعية: > 1.2: إنشاء نظام لإدارة المستخدمين والصلاحيات","drizzle/schema.ts; server/auth.ts; server/permissions/*; client/src/pages/Login.tsx; client/src/pages/users/UsersManagement.tsx",""
"1.2.8","❌","bullet","تطوير شاشة إدارة الأدوار والصلاحيات - يوم","74","📋 ملف المهام الشامل - المرحلة 1 > المهمة 1: بناء الأساس المعماري (Platform Core) > ✅ المهام الفرعية: > 1.2: إنشاء نظام لإدارة المستخدمين والصلاحيات","drizzle/schema.ts; server/auth.ts; server/permissions/*; client/src/pages/Login.tsx; client/src/pages/users/UsersManagement.tsx",""
"1.3.1","✅","bullet","تطوير لوحة التحكم الرئيسية (Dashboard) - يومان","83","📋 ملف المهام الشامل - المرحلة 1 > المهمة 1: بناء الأساس المعماري (Platform Core) > ✅ المهام الفرعية: > 1.3: تطوير الواجهات الأساسية لإدارة المحطات","client/src/pages/Dashboard.tsx; client/src/pages/organization/Businesses.tsx; client/src/pages/organization/Branches.tsx; client/src/pages/organization/Stations.tsx",""
"1.3.2","✅","bullet","تطوير شاشة إنشاء محطة جديدة - يوم","84","📋 ملف المهام الشامل - المرحلة 1 > المهمة 1: بناء الأساس المعماري (Platform Core) > ✅ المهام الفرعية: > 1.3: تطوير الواجهات الأساسية لإدارة المحطات","client/src/pages/Dashboard.tsx; client/src/pages/organization/Businesses.tsx; client/src/pages/organization/Branches.tsx; client/src/pages/organization/Stations.tsx",""
"1.3.3","✅","bullet","تطوير شاشة عرض المحطات - يوم","85","📋 ملف المهام الشامل - المرحلة 1 > المهمة 1: بناء الأساس المعماري (Platform Core) > ✅ المهام الفرعية: > 1.3: تطوير الواجهات الأساسية لإدارة المحطات","client/src/pages/Dashboard.tsx; client/src/pages/organization/Businesses.tsx; client/src/pages/organization/Branches.tsx; client/src/pages/organization/Stations.tsx",""
"1.3.4","⚠️","bullet","تطوير شاشة إعدادات المحطة - يوم","86","📋 ملف المهام الشامل - المرحلة 1 > المهمة 1: بناء الأساس المعماري (Platform Core) > ✅ المهام الفرعية: > 1.3: تطوير الواجهات الأساسية لإدارة المحطات","client/src/pages/Dashboard.tsx; client/src/pages/organization/Businesses.tsx; client/src/pages/organization/Branches.tsx; client/src/pages/organization/Stations.tsx","إعدادات المحطة موجودة ضمن نموذج إنشاء/تعديل المحطة، لكن لا شاشة إعدادات متقدمة منفصلة."
"1.3.5","⚠️","bullet","تطوير نظام التنقل بين المحطات - يوم","87","📋 ملف المهام الشامل - المرحلة 1 > المهمة 1: بناء الأساس المعماري (Platform Core) > ✅ المهام الفرعية: > 1.3: تطوير الواجهات الأساسية لإدارة المحطات","client/src/pages/Dashboard.tsx; client/src/pages/organization/Businesses.tsx; client/src/pages/organization/Branches.tsx; client/src/pages/organization/Stations.tsx",""
"1.3.6","✅","bullet","إضافة عرض الإحصائيات السريعة - يوم","88","📋 ملف المهام الشامل - المرحلة 1 > المهمة 1: بناء الأساس المعماري (Platform Core) > ✅ المهام الفرعية: > 1.3: تطوير الواجهات الأساسية لإدارة المحطات","client/src/pages/Dashboard.tsx; client/src/pages/organization/Businesses.tsx; client/src/pages/organization/Branches.tsx; client/src/pages/organization/Stations.tsx",""
"1.4.1","✅","bullet","تطوير شاشة ""بحث وإدارة المشتركين"" - يومان","97","📋 ملف المهام الشامل - المرحلة 1 > المهمة 1: بناء الأساس المعماري (Platform Core) > ✅ المهام الفرعية: > 1.4: بناء الوحدة الأساسية لإدارة المشتركين والعدادات","server/billingRouter.ts; client/src/pages/billing/customers/CustomersManagement.tsx; client/src/pages/customers/CustomerDetails.tsx",""
"1.4.2","✅","bullet","تطوير شاشة ""ملف المشترك"" - يومان","98","📋 ملف المهام الشامل - المرحلة 1 > المهمة 1: بناء الأساس المعماري (Platform Core) > ✅ المهام الفرعية: > 1.4: بناء الوحدة الأساسية لإدارة المشتركين والعدادات","server/billingRouter.ts; client/src/pages/billing/customers/CustomersManagement.tsx; client/src/pages/customers/CustomerDetails.tsx",""
"1.4.3","✅","bullet","تطوير شاشة إضافة مشترك جديد - يوم","99","📋 ملف المهام الشامل - المرحلة 1 > المهمة 1: بناء الأساس المعماري (Platform Core) > ✅ المهام الفرعية: > 1.4: بناء الوحدة الأساسية لإدارة المشتركين والعدادات","server/billingRouter.ts; client/src/pages/billing/customers/CustomersManagement.tsx; client/src/pages/customers/CustomerDetails.tsx",""
"1.4.4","✅","bullet","تطوير شاشة ""إضافة/تعديل عداد"" - يوم","100","📋 ملف المهام الشامل - المرحلة 1 > المهمة 1: بناء الأساس المعماري (Platform Core) > ✅ المهام الفرعية: > 1.4: بناء الوحدة الأساسية لإدارة المشتركين والعدادات","server/billingRouter.ts; client/src/pages/billing/customers/CustomersManagement.tsx; client/src/pages/customers/CustomerDetails.tsx",""
"1.4.5","✅","bullet","تطوير نموذج بيانات العدادات - يومان","101","📋 ملف المهام الشامل - المرحلة 1 > المهمة 1: بناء الأساس المعماري (Platform Core) > ✅ المهام الفرعية: > 1.4: بناء الوحدة الأساسية لإدارة المشتركين والعدادات","server/billingRouter.ts; client/src/pages/billing/customers/CustomersManagement.tsx; client/src/pages/customers/CustomerDetails.tsx",""
"1.4.6","⚠️","bullet","إضافة عرض الرصيد/الدين - يوم","102","📋 ملف المهام الشامل - المرحلة 1 > المهمة 1: بناء الأساس المعماري (Platform Core) > ✅ المهام الفرعية: > 1.4: بناء الوحدة الأساسية لإدارة المشتركين والعدادات","server/billingRouter.ts; client/src/pages/billing/customers/CustomersManagement.tsx; client/src/pages/customers/CustomerDetails.tsx",""
"1.4.7","❌","bullet","إضافة سجل الفواتير/الشحنات - يوم","103","📋 ملف المهام الشامل - المرحلة 1 > المهمة 1: بناء الأساس المعماري (Platform Core) > ✅ المهام الفرعية: > 1.4: بناء الوحدة الأساسية لإدارة المشتركين والعدادات","server/billingRouter.ts; client/src/pages/billing/customers/CustomersManagement.tsx; client/src/pages/customers/CustomerDetails.tsx",""
"1.4.8","✅","bullet","إضافة خيارات البحث والفلترة - يوم","104","📋 ملف المهام الشامل - المرحلة 1 > المهمة 1: بناء الأساس المعماري (Platform Core) > ✅ المهام الفرعية: > 1.4: بناء الوحدة الأساسية لإدارة المشتركين والعدادات","server/billingRouter.ts; client/src/pages/billing/customers/CustomersManagement.tsx; client/src/pages/customers/CustomerDetails.tsx",""
"1.4.9","✅","bullet","إضافة خيارات التصدير - يوم","105","📋 ملف المهام الشامل - المرحلة 1 > المهمة 1: بناء الأساس المعماري (Platform Core) > ✅ المهام الفرعية: > 1.4: بناء الوحدة الأساسية لإدارة المشتركين والعدادات","server/billingRouter.ts; client/src/pages/billing/customers/CustomersManagement.tsx; client/src/pages/customers/CustomerDetails.tsx",""
"2.1.1","❌","bullet","تطوير تطبيق جوال (Mobile App) - 3 أيام","123","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.1: بناء واجهة إدخال القراءات اليدوية","server/billingRouter.ts; client/src/pages/billing/invoicing/MeterReadingsManagement.tsx",""
"2.1.2","✅","bullet","واجهة بسيطة لإدخال القراءات - يوم","124","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.1: بناء واجهة إدخال القراءات اليدوية","server/billingRouter.ts; client/src/pages/billing/invoicing/MeterReadingsManagement.tsx",""
"2.1.3","✅","bullet","البحث عن المشترك - يوم","125","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.1: بناء واجهة إدخال القراءات اليدوية","server/billingRouter.ts; client/src/pages/billing/invoicing/MeterReadingsManagement.tsx",""
"2.1.4","✅","bullet","إدخال القراءة الحالية - يوم","126","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.1: بناء واجهة إدخال القراءات اليدوية","server/billingRouter.ts; client/src/pages/billing/invoicing/MeterReadingsManagement.tsx",""
"2.1.5","❌","bullet","التقاط صورة من العداد - يوم","127","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.1: بناء واجهة إدخال القراءات اليدوية","server/billingRouter.ts; client/src/pages/billing/invoicing/MeterReadingsManagement.tsx",""
"2.1.6","⚠️","bullet","التحقق من صحة القراءة - يوم","128","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.1: بناء واجهة إدخال القراءات اليدوية","server/billingRouter.ts; client/src/pages/billing/invoicing/MeterReadingsManagement.tsx",""
"2.1.7","✅","bullet","حساب الفرق تلقائياً - يوم","129","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.1: بناء واجهة إدخال القراءات اليدوية","server/billingRouter.ts; client/src/pages/billing/invoicing/MeterReadingsManagement.tsx",""
"2.1.8","✅","bullet","حفظ القراءة مع البيانات - يوم","130","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.1: بناء واجهة إدخال القراءات اليدوية","server/billingRouter.ts; client/src/pages/billing/invoicing/MeterReadingsManagement.tsx",""
"2.1.9","❌","bullet","تقرير يومي للموظف - يوم","131","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.1: بناء واجهة إدخال القراءات اليدوية","server/billingRouter.ts; client/src/pages/billing/invoicing/MeterReadingsManagement.tsx",""
"2.2.1","✅","bullet","تصميم منطق الفوترة - يومان","140","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.2: تطوير وحدة الفوترة الدورية التلقائية","server/billingRouter.ts; client/src/pages/billing/invoicing/InvoicesManagement.tsx",""
"2.2.2","❌","bullet","برمجة وظيفة مجدولة (Cron Job) - يومان","141","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.2: تطوير وحدة الفوترة الدورية التلقائية","server/billingRouter.ts; client/src/pages/billing/invoicing/InvoicesManagement.tsx",""
"2.2.3","⚠️","bullet","حساب الاستهلاك تلقائياً - يوم","142","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.2: تطوير وحدة الفوترة الدورية التلقائية","server/billingRouter.ts; client/src/pages/billing/invoicing/InvoicesManagement.tsx",""
"2.2.4","✅","bullet","حساب المبلغ المستحق - يوم","143","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.2: تطوير وحدة الفوترة الدورية التلقائية","server/billingRouter.ts; client/src/pages/billing/invoicing/InvoicesManagement.tsx",""
"2.2.5","⚠️","bullet","إضافة الرسوم والضرائب - يوم","144","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.2: تطوير وحدة الفوترة الدورية التلقائية","server/billingRouter.ts; client/src/pages/billing/invoicing/InvoicesManagement.tsx",""
"2.2.6","✅","bullet","إنشاء سجل الفاتورة - يوم","145","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.2: تطوير وحدة الفوترة الدورية التلقائية","server/billingRouter.ts; client/src/pages/billing/invoicing/InvoicesManagement.tsx",""
"2.2.7","✅","bullet","تحديث حالة المشترك - يوم","146","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.2: تطوير وحدة الفوترة الدورية التلقائية","server/billingRouter.ts; client/src/pages/billing/invoicing/InvoicesManagement.tsx",""
"2.2.8","⚠️","bullet","معالجة الأخطاء والاستثناءات - يوم","147","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.2: تطوير وحدة الفوترة الدورية التلقائية","server/billingRouter.ts; client/src/pages/billing/invoicing/InvoicesManagement.tsx",""
"2.3.1","⚠️","bullet","اختيار بوابات الدفع - يوم","156","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.3: بناء وحدة التكامل مع بوابات الدفع الإلكترونية","drizzle/schema.ts; client/src/pages/developer/Integrations.tsx; server/billingRouter.ts",""
"2.3.2","⚠️","bullet","بناء API للتكامل - 3 أيام","157","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.3: بناء وحدة التكامل مع بوابات الدفع الإلكترونية","drizzle/schema.ts; client/src/pages/developer/Integrations.tsx; server/billingRouter.ts",""
"2.3.3","❌","bullet","إنشاء معاملات الدفع - يومان","158","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.3: بناء وحدة التكامل مع بوابات الدفع الإلكترونية","drizzle/schema.ts; client/src/pages/developer/Integrations.tsx; server/billingRouter.ts","لا يوجد نموذج معاملات بوابة دفع/ويبهوكس؛ الموجود حالياً تسجيل يدوي للمدفوعات."
"2.3.4","❌","bullet","التعامل مع الدفعات الناجحة - يومان","159","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.3: بناء وحدة التكامل مع بوابات الدفع الإلكترونية","drizzle/schema.ts; client/src/pages/developer/Integrations.tsx; server/billingRouter.ts","لا يوجد Webhook/Handler لنجاح الدفع من بوابة دفع."
"2.3.5","❌","bullet","التعامل مع الدفعات الفاشلة - يوم","160","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.3: بناء وحدة التكامل مع بوابات الدفع الإلكترونية","drizzle/schema.ts; client/src/pages/developer/Integrations.tsx; server/billingRouter.ts","لا يوجد مسار دفعات فاشلة/Refunds مرتبط ببوابة دفع."
"2.3.6","✅","bullet","تسجيل المدفوعات - يوم","161","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.3: بناء وحدة التكامل مع بوابات الدفع الإلكترونية","drizzle/schema.ts; client/src/pages/developer/Integrations.tsx; server/billingRouter.ts",""
"2.3.7","✅","bullet","إنشاء إيصالات الدفع - يوم","162","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.3: بناء وحدة التكامل مع بوابات الدفع الإلكترونية","drizzle/schema.ts; client/src/pages/developer/Integrations.tsx; server/billingRouter.ts",""
"2.3.8","❌","bullet","نظام التحقق من الدفع - يومان","163","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.3: بناء وحدة التكامل مع بوابات الدفع الإلكترونية","drizzle/schema.ts; client/src/pages/developer/Integrations.tsx; server/billingRouter.ts","لا يوجد نظام تحقق Payment Verification من مزود خارجي."
"2.4.1","⚠️","bullet","اختيار خدمة SMS - يوم","172","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.4: بناء وحدة التكامل مع SMS و WhatsApp","server/notifications/*; client/src/pages/developer/Integrations.tsx; drizzle/schema.ts",""
"2.4.2","❌","bullet","اختيار خدمة WhatsApp - يوم","173","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.4: بناء وحدة التكامل مع SMS و WhatsApp","server/notifications/*; client/src/pages/developer/Integrations.tsx; drizzle/schema.ts","لا توجد قناة WhatsApp في server/notifications/channels."
"2.4.3","⚠️","bullet","بناء API للتكامل - يومان","174","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.4: بناء وحدة التكامل مع SMS و WhatsApp","server/notifications/*; client/src/pages/developer/Integrations.tsx; drizzle/schema.ts",""
"2.4.4","⚠️","bullet","برمجة قالب الرسالة - يوم","175","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.4: بناء وحدة التكامل مع SMS و WhatsApp","server/notifications/*; client/src/pages/developer/Integrations.tsx; drizzle/schema.ts",""
"2.4.5","❌","bullet","إرسال الفاتورة تلقائياً - يوم","176","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.4: بناء وحدة التكامل مع SMS و WhatsApp","server/notifications/*; client/src/pages/developer/Integrations.tsx; drizzle/schema.ts","لا يوجد إرسال فواتير تلقائي عبر SMS/WhatsApp."
"2.4.6","❌","bullet","إرسال تذكيرات - يوم","177","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.4: بناء وحدة التكامل مع SMS و WhatsApp","server/notifications/*; client/src/pages/developer/Integrations.tsx; drizzle/schema.ts","لا يوجد تذكير مجدول للمتأخرات."
"2.4.7","⚠️","bullet","إرسال تأكيد الدفع - يوم","178","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.4: بناء وحدة التكامل مع SMS و WhatsApp","server/notifications/*; client/src/pages/developer/Integrations.tsx; drizzle/schema.ts",""
"2.4.8","⚠️","bullet","نظام إعادة المحاولة - يوم","179","📋 ملف المهام الشامل - المرحلة 1 > المهمة 2: أتمتة عمليات العدادات التقليدية > ✅ المهام الفرعية: > 2.4: بناء وحدة التكامل مع SMS و WhatsApp","server/notifications/*; client/src/pages/developer/Integrations.tsx; drizzle/schema.ts",""
"3.1.1","❌","bullet","الحصول على توثيق API - يوم","197","📋 ملف المهام الشامل - المرحلة 1 > المهمة 3: أتمتة عمليات عدادات الدفع المسبق (STS) > ✅ المهام الفرعية: > 3.1: تطوير وحدة التكامل مع API مقدم خدمة STS","drizzle/schema.ts; server/customerSystemRouter.ts",""
"3.1.2","❌","bullet","بناء Client للتكامل - يومان","198","📋 ملف المهام الشامل - المرحلة 1 > المهمة 3: أتمتة عمليات عدادات الدفع المسبق (STS) > ✅ المهام الفرعية: > 3.1: تطوير وحدة التكامل مع API مقدم خدمة STS","drizzle/schema.ts; server/customerSystemRouter.ts",""
"3.1.3","❌","bullet","اختبار الاتصال - يوم","199","📋 ملف المهام الشامل - المرحلة 1 > المهمة 3: أتمتة عمليات عدادات الدفع المسبق (STS) > ✅ المهام الفرعية: > 3.1: تطوير وحدة التكامل مع API مقدم خدمة STS","drizzle/schema.ts; server/customerSystemRouter.ts",""
"3.1.4","❌","bullet","بناء وظيفة إنشاء طلب شحن - يومان","200","📋 ملف المهام الشامل - المرحلة 1 > المهمة 3: أتمتة عمليات عدادات الدفع المسبق (STS) > ✅ المهام الفرعية: > 3.1: تطوير وحدة التكامل مع API مقدم خدمة STS","drizzle/schema.ts; server/customerSystemRouter.ts",""
"3.1.5","❌","bullet","استقبال التوكن - يوم","201","📋 ملف المهام الشامل - المرحلة 1 > المهمة 3: أتمتة عمليات عدادات الدفع المسبق (STS) > ✅ المهام الفرعية: > 3.1: تطوير وحدة التكامل مع API مقدم خدمة STS","drizzle/schema.ts; server/customerSystemRouter.ts",""
"3.1.6","❌","bullet","التحقق من حالة الشحن - يوم","202","📋 ملف المهام الشامل - المرحلة 1 > المهمة 3: أتمتة عمليات عدادات الدفع المسبق (STS) > ✅ المهام الفرعية: > 3.1: تطوير وحدة التكامل مع API مقدم خدمة STS","drizzle/schema.ts; server/customerSystemRouter.ts",""
"3.1.7","❌","bullet","إلغاء الشحن - يوم","203","📋 ملف المهام الشامل - المرحلة 1 > المهمة 3: أتمتة عمليات عدادات الدفع المسبق (STS) > ✅ المهام الفرعية: > 3.1: تطوير وحدة التكامل مع API مقدم خدمة STS","drizzle/schema.ts; server/customerSystemRouter.ts",""
"3.1.8","❌","bullet","معالجة الأخطاء - يوم","204","📋 ملف المهام الشامل - المرحلة 1 > المهمة 3: أتمتة عمليات عدادات الدفع المسبق (STS) > ✅ المهام الفرعية: > 3.1: تطوير وحدة التكامل مع API مقدم خدمة STS","drizzle/schema.ts; server/customerSystemRouter.ts",""
"3.2.1","⚠️","bullet","تطوير صفحة الشحن - يومان","213","📋 ملف المهام الشامل - المرحلة 1 > المهمة 3: أتمتة عمليات عدادات الدفع المسبق (STS) > ✅ المهام الفرعية: > 3.2: تطوير واجهة ""شحن الرصيد""","drizzle/schema.ts; server/customerSystemRouter.ts",""
"3.2.2","⚠️","bullet","إدخال المبلغ المطلوب - يوم","214","📋 ملف المهام الشامل - المرحلة 1 > المهمة 3: أتمتة عمليات عدادات الدفع المسبق (STS) > ✅ المهام الفرعية: > 3.2: تطوير واجهة ""شحن الرصيد""","drizzle/schema.ts; server/customerSystemRouter.ts",""
"3.2.3","⚠️","bullet","اختيار طريقة الدفع - يوم","215","📋 ملف المهام الشامل - المرحلة 1 > المهمة 3: أتمتة عمليات عدادات الدفع المسبق (STS) > ✅ المهام الفرعية: > 3.2: تطوير واجهة ""شحن الرصيد""","drizzle/schema.ts; server/customerSystemRouter.ts",""
"3.2.4","⚠️","bullet","معالجة الدفع - يومان","216","📋 ملف المهام الشامل - المرحلة 1 > المهمة 3: أتمتة عمليات عدادات الدفع المسبق (STS) > ✅ المهام الفرعية: > 3.2: تطوير واجهة ""شحن الرصيد""","drizzle/schema.ts; server/customerSystemRouter.ts",""
"3.2.5","❌","bullet","عرض التوكن - يوم","217","📋 ملف المهام الشامل - المرحلة 1 > المهمة 3: أتمتة عمليات عدادات الدفع المسبق (STS) > ✅ المهام الفرعية: > 3.2: تطوير واجهة ""شحن الرصيد""","drizzle/schema.ts; server/customerSystemRouter.ts",""
"3.2.6","❌","bullet","خيار نسخ التوكن - يوم","218","📋 ملف المهام الشامل - المرحلة 1 > المهمة 3: أتمتة عمليات عدادات الدفع المسبق (STS) > ✅ المهام الفرعية: > 3.2: تطوير واجهة ""شحن الرصيد""","drizzle/schema.ts; server/customerSystemRouter.ts",""
